feature
aimless_social_media_use
social_media_distraction
social_media_restlessness
social_comparison
validation_seeking
distractibility
worry_level
concentration_difficulty
comparison_feelings
interest_fluctuation
sleep_issues
age
gender
relationship_status
daily_social_media_hours
social_media_addiction_score
social_comparison_score
general_mental_health_score
